what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1473967093516
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1473967093517
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1473967093517
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1473967093517
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1473967093518
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1473967093519
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1473967093519
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1473967093519
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1473967093520
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1473967093520
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1473967093521
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1473967093521
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1473967093522
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1473967093522
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1473967093523
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1473967093523
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1473967093524
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1473967093524
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1473967093524
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1473967093525
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1473967093525
os,sysinfo,,,"win32",1473967093527
arch,sysinfo,,,"x86",1473967093527
ws,sysinfo,,,"win32",1473967093527
locale,sysinfo,,,"fr_CA",1473967093527
processors,sysinfo,,,"8",1473967093527
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1473967093527
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1473967093527
java.specification.name,sysinfo,,,"Java Platform API Specification",1473967093527
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1473967093527
java.specification.version,sysinfo,,,"1.6",1473967093527
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1473967093527
java.version,sysinfo,,,"1.6.0_23",1473967093527
java.vm.info,sysinfo,,,"mixed mode",1473967093527
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1473967093527
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1473967093527
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1473967093527
java.vm.specification.version,sysinfo,,,"1.0",1473967093527
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1473967093527
java.vm.version,sysinfo,,,"19.0-b09",1473967093527
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1473967097726
opened,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1473967101332
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1473967101348
